# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TN,   TX
# 
  380,19970101, -175, -123
  380,19970102, -185,  -89
  380,19970103, -115,  -53
  380,19970104,  -62,  -40
  380,19970105,  -56,  -38
  380,19970106, -111,  -36
  380,19970107, -113,  -44
  380,19970108, -125,  -54
  380,19970109,  -86,  -49
  380,19970110,  -69,  -37
  380,19970111,  -78,  -16
  380,19970112,  -80,   33
  380,19970113,  -20,   67
  380,19970114,  -25,   83
  380,19970115,  -26,   79
  380,19970116,  -22,   89
  380,19970117,   -6,   91
  380,19970118,  -10,   67
  380,19970119,  -14,   63
  380,19970120,   10,   48
  380,19970121,    6,   41
  380,19970122,   16,  125
  380,19970123,   28,   93
  380,19970124,   26,   61
  380,19970125,  -15,   30
  380,19970126,   -6,   18
  380,19970127,  -16,   -1
  380,19970128,  -39,   11
  380,19970129,    4,   22
  380,19970130,   11,   31
  380,19970131,   11,   52
  380,19970201,  -18,   30
  380,19970202,  -28,   18
  380,19970203,   -7,   22
  380,19970204,    2,   54
  380,19970205,    2,   53
  380,19970206,    9,   81
  380,19970207,   27,   90
  380,19970208,   51,   85
  380,19970209,   67,  114
  380,19970210,   54,  113
  380,19970211,   12,   79
  380,19970212,   63,  117
  380,19970213,   21,   99
  380,19970214,   18,   64
  380,19970215,    2,   76
  380,19970216,   19,   70
  380,19970217,   35,   86
  380,19970218,   45,  118
  380,19970219,   20,   92
  380,19970220,   47,  101
  380,19970221,   81,   99
  380,19970222,   52,  118
  380,19970223,   34,  126
  380,19970224,   74,  121
  380,19970225,   96,  137
  380,19970226,   50,  107
  380,19970227,   50,   95
  380,19970228,   56,  160
  380,19970301,   48,  136
  380,19970302,   82,  146
  380,19970303,   64,  109
  380,19970304,   62,  147
  380,19970305,   53,  119
  380,19970306,   58,   83
  380,19970307,   42,  151
  380,19970308,   46,  149
  380,19970309,   43,  154
  380,19970310,   33,  169
  380,19970311,   30,  110
  380,19970312,   29,  168
  380,19970313,   79,  138
  380,19970314,   71,   98
  380,19970315,   80,  109
  380,19970316,   93,  119
  380,19970317,   60,  140
  380,19970318,   55,  126
  380,19970319,   33,   85
  380,19970320,   23,   67
  380,19970321,   24,   86
  380,19970322,  -11,   84
  380,19970323,   32,   82
  380,19970324,   59,   95
  380,19970325,   35,   98
  380,19970326,   28,  135
  380,19970327,  102,  151
  380,19970328,   37,  126
  380,19970329,   28,   86
  380,19970330,   40,  124
  380,19970331,   15,  152
  380,19970401,   31,  180
  380,19970402,   40,  157
  380,19970403,   44,  112
  380,19970404,   29,   92
  380,19970405,   41,  107
  380,19970406,   10,  103
  380,19970407,  -17,  102
  380,19970408,    7,  137
  380,19970409,   28,  172
  380,19970410,   28,  170
  380,19970411,   30,  109
  380,19970412,   22,   94
  380,19970413,    9,  124
  380,19970414,   46,  126
  380,19970415,   22,  101
  380,19970416,    3,  104
  380,19970417,    5,  128
  380,19970418,   20,  127
  380,19970419,   25,   91
  380,19970420,   12,   88
  380,19970421,  -20,  109
  380,19970422,   29,  100
  380,19970423,    5,  128
  380,19970424,   27,  166
  380,19970425,   45,  161
  380,19970426,   81,  137
  380,19970427,   95,  135
  380,19970428,   92,  150
  380,19970429,   91,  117
  380,19970430,   82,  151
  380,19970501,   62,  171
  380,19970502,   74,  231
  380,19970503,   93,  248
  380,19970504,  133,  213
  380,19970505,  112,  162
  380,19970506,   30,  130
  380,19970507,   20,  103
  380,19970508,   21,  113
  380,19970509,   67,  129
  380,19970510,   66,  157
  380,19970511,  109,  151
  380,19970512,   82,  178
  380,19970513,   63,  199
  380,19970514,   83,  137
  380,19970515,   71,  196
  380,19970516,  109,  254
  380,19970517,  131,  272
  380,19970518,  146,  196
  380,19970519,  119,  236
  380,19970520,   97,  200
  380,19970521,   92,  164
  380,19970522,   85,  150
  380,19970523,   74,  153
  380,19970524,   60,  144
  380,19970525,   55,  172
  380,19970526,   65,  187
  380,19970527,   95,  141
  380,19970528,   66,  156
  380,19970529,   65,  199
  380,19970530,   80,  197
  380,19970531,   85,  186
  380,19970601,   72,  181
  380,19970602,  100,  210
  380,19970603,   98,  225
  380,19970604,   93,  248
  380,19970605,  123,  254
  380,19970606,  158,  267
  380,19970607,  166,  294
  380,19970608,  126,  236
  380,19970609,  119,  230
  380,19970610,  137,  262
  380,19970611,  150,  270
  380,19970612,  140,  213
  380,19970613,  143,  234
  380,19970614,  135,  209
  380,19970615,  106,  171
  380,19970616,   86,  193
  380,19970617,  115,  175
  380,19970618,   94,  184
  380,19970619,   95,  210
  380,19970620,  109,  182
  380,19970621,  110,  186
  380,19970622,  100,  191
  380,19970623,  117,  149
