date,month,min_temp,max_temp
01-01-1997,1997-01,-175,-123
02-01-1997,1997-01,-185,-89
03-01-1997,1997-01,-115,-53
04-01-1997,1997-01,-62,-40
05-01-1997,1997-01,-56,-38
06-01-1997,1997-01,-111,-36
07-01-1997,1997-01,-113,-44
08-01-1997,1997-01,-125,-54
09-01-1997,1997-01,-86,-49
10-01-1997,1997-01,-69,-37
11-01-1997,1997-01,-78,-16
12-01-1997,1997-01,-80,33
13-01-1997,1997-01,-20,67
14-01-1997,1997-01,-25,83
15-01-1997,1997-01,-26,79
16-01-1997,1997-01,-22,89
17-01-1997,1997-01,-6,91
18-01-1997,1997-01,-10,67
19-01-1997,1997-01,-14,63
20-01-1997,1997-01,10,48
21-01-1997,1997-01,6,41
22-01-1997,1997-01,16,125
23-01-1997,1997-01,28,93
24-01-1997,1997-01,26,61
25-01-1997,1997-01,-15,30
26-01-1997,1997-01,-6,18
27-01-1997,1997-01,-16,-1
28-01-1997,1997-01,-39,11
29-01-1997,1997-01,4,22
30-01-1997,1997-01,11,31
31-01-1997,1997-01,11,52
01-02-1997,1997-02,-18,30
02-02-1997,1997-02,-28,18
03-02-1997,1997-02,-7,22
04-02-1997,1997-02,2,54
05-02-1997,1997-02,2,53
06-02-1997,1997-02,9,81
07-02-1997,1997-02,27,90
08-02-1997,1997-02,51,85
09-02-1997,1997-02,67,114
10-02-1997,1997-02,54,113
11-02-1997,1997-02,12,79
12-02-1997,1997-02,63,117
13-02-1997,1997-02,21,99
14-02-1997,1997-02,18,64
15-02-1997,1997-02,2,76
16-02-1997,1997-02,19,70
17-02-1997,1997-02,35,86
18-02-1997,1997-02,45,118
19-02-1997,1997-02,20,92
20-02-1997,1997-02,47,101
21-02-1997,1997-02,81,99
22-02-1997,1997-02,52,118
23-02-1997,1997-02,34,126
24-02-1997,1997-02,74,121
25-02-1997,1997-02,96,137
26-02-1997,1997-02,50,107
27-02-1997,1997-02,50,95
28-02-1997,1997-02,56,160
01-03-1997,1997-03,48,136
02-03-1997,1997-03,82,146
03-03-1997,1997-03,64,109
04-03-1997,1997-03,62,147
05-03-1997,1997-03,53,119
06-03-1997,1997-03,58,83
07-03-1997,1997-03,42,151
08-03-1997,1997-03,46,149
09-03-1997,1997-03,43,154
10-03-1997,1997-03,33,169
11-03-1997,1997-03,30,110
12-03-1997,1997-03,29,168
13-03-1997,1997-03,79,138
14-03-1997,1997-03,71,98
15-03-1997,1997-03,80,109
16-03-1997,1997-03,93,119
17-03-1997,1997-03,60,140
18-03-1997,1997-03,55,126
19-03-1997,1997-03,33,85
20-03-1997,1997-03,23,67
21-03-1997,1997-03,24,86
22-03-1997,1997-03,-11,84
23-03-1997,1997-03,32,82
24-03-1997,1997-03,59,95
25-03-1997,1997-03,35,98
26-03-1997,1997-03,28,135
27-03-1997,1997-03,102,151
28-03-1997,1997-03,37,126
29-03-1997,1997-03,28,86
30-03-1997,1997-03,40,124
31-03-1997,1997-03,15,152
01-04-1997,1997-04,31,180
02-04-1997,1997-04,40,157
03-04-1997,1997-04,44,112
04-04-1997,1997-04,29,92
05-04-1997,1997-04,41,107
06-04-1997,1997-04,10,103
07-04-1997,1997-04,-17,102
08-04-1997,1997-04,7,137
09-04-1997,1997-04,28,172
10-04-1997,1997-04,28,170
11-04-1997,1997-04,30,109
12-04-1997,1997-04,22,94
13-04-1997,1997-04,9,124
14-04-1997,1997-04,46,126
15-04-1997,1997-04,22,101
16-04-1997,1997-04,3,104
17-04-1997,1997-04,5,128
18-04-1997,1997-04,20,127
19-04-1997,1997-04,25,91
20-04-1997,1997-04,12,88
21-04-1997,1997-04,-20,109
22-04-1997,1997-04,29,100
23-04-1997,1997-04,5,128
24-04-1997,1997-04,27,166
25-04-1997,1997-04,45,161
26-04-1997,1997-04,81,137
27-04-1997,1997-04,95,135
