,Country,Year,Gender,Population
0,Australia,2002,Males,9753133.0
1,Australia,2003,Males,9873447.0
2,Australia,2004,Males,9990513.0
3,Australia,2005,Males,10121438.0
4,Australia,2006,Males,10257418.0
5,Australia,2007,Males,10444622.0
6,Australia,2008,Males,10660917.0
7,Australia,2009,Males,10888385.0
8,Australia,2010,Males,11124254.0
9,Australia,2011,Males,11260747.0
10,Australia,2012,Males,11280804.0
11,Australia,2002,Females,9887846.0
12,Australia,2003,Females,9999199.0
13,Australia,2004,Females,10100991.0
14,Australia,2005,Females,10218321.0
15,Australia,2006,Females,10348070.0
16,Australia,2007,Females,10570420.0
17,Australia,2008,Females,10770864.0
18,Australia,2009,Females,10986535.0
19,Australia,2010,Females,11218144.0
20,Australia,2011,Females,11359807.0
21,Australia,2012,Females,11402769.0
22,Australia,2002,Total males+females,19640979.0
23,Australia,2003,Total males+females,19872646.0
24,Australia,2004,Total males+females,20091504.0
25,Australia,2005,Total males+females,20339759.0
26,Australia,2006,Total males+females,20605488.0
27,Australia,2007,Total males+females,21015042.0
28,Australia,2008,Total males+females,21431781.0
29,Australia,2009,Total males+females,21874920.0
30,Australia,2010,Total males+females,22342398.0
31,Australia,2011,Total males+females,22620554.0
32,Australia,2012,Total males+females,22683573.0
33,Austria,2002,Males,3959567.0
34,Austria,2003,Males,3909120.0
35,Austria,2004,Males,3949825.0
36,Austria,2005,Males,3986296.0
37,Austria,2006,Males,4019354.0
38,Austria,2007,Males,4037171.0
39,Austria,2008,Males,4054214.0
40,Austria,2009,Males,4068047.0
41,Austria,2010,Males,4079093.0
42,Austria,2011,Males,4095337.0
43,Austria,2012,Males,4118035.0
44,Austria,2002,Females,4179743.0
45,Austria,2003,Females,4158169.0
46,Austria,2004,Females,4190297.0
47,Austria,2005,Females,4220228.0
48,Austria,2006,Females,4246571.0
49,Austria,2007,Females,4261752.0
50,Austria,2008,Females,4277716.0
51,Austria,2009,Females,4287213.0
52,Austria,2010,Females,4296197.0
53,Austria,2011,Females,4308915.0
54,Austria,2012,Females,4324983.0
55,Austria,2002,Total males+females,8139310.0
56,Austria,2003,Total males+females,8067289.0
57,Austria,2004,Total males+females,8140122.0
58,Austria,2005,Total males+females,8206524.0
59,Austria,2006,Total males+females,8265925.0
60,Austria,2007,Total males+females,8298923.0
61,Austria,2008,Total males+females,8331930.0
62,Austria,2009,Total males+females,8355260.0
63,Austria,2010,Total males+females,8375290.0
64,Austria,2011,Total males+females,8404252.0
65,Austria,2012,Total males+females,8443018.0
66,Belgium,2002,Males,5042288.0
67,Belgium,2003,Males,5066885.0
68,Belgium,2004,Males,5087176.0
69,Belgium,2005,Males,5111325.0
70,Belgium,2006,Males,5143821.0
71,Belgium,2007,Males,5181408.0
72,Belgium,2008,Males,5224309.0
73,Belgium,2009,Males,5268651.0
74,Belgium,2010,Males,5312221.0
75,Belgium,2011,Males,5370234.0
76,Belgium,2012,Males,5413801.0
77,Belgium,2002,Females,5267437.0
78,Belgium,2003,Females,5288959.0
79,Belgium,2004,Females,5309245.0
80,Belgium,2005,Females,5334527.0
81,Belgium,2006,Females,5367561.0
82,Belgium,2007,Females,5403126.0
83,Belgium,2008,Females,5442557.0
84,Belgium,2009,Females,5484429.0
85,Belgium,2010,Females,5527684.0
86,Belgium,2011,Females,4996609.0
87,Belgium,2012,Females,5622157.0
88,Belgium,2002,Total males+females,10309725.0
89,Belgium,2003,Total males+females,10355844.0
90,Belgium,2004,Total males+females,10396421.0
91,Belgium,2005,Total males+females,10445852.0
92,Belgium,2006,Total males+females,10511382.0
93,Belgium,2007,Total males+females,10584534.0
94,Belgium,2008,Total males+females,10666866.0
95,Belgium,2009,Total males+females,10753080.0
96,Belgium,2010,Total males+females,10839905.0
97,Belgium,2011,Total males+females,10366843.0
98,Belgium,2012,Total males+females,11035958.0
99,Canada,2003,Males,15532438.0
100,Canada,2004,Males,15538572.0
101,Canada,2005,Males,15842787.0
102,Canada,2006,Males,15995582.0
103,Canada,2007,Males,16170723.0
104,Canada,2008,Males,16326141.0
105,Canada,2009,Males,16524504.0
106,Canada,2010,Males,16526676.0
107,Canada,2011,Males,16826122.5
108,Canada,2012,Males,17113541.0
109,Canada,2003,Females,15829173.0
110,Canada,2004,Females,15834015.0
111,Canada,2005,Females,16146667.0
112,Canada,2006,Females,16303914.0
113,Canada,2007,Females,16478759.0
114,Canada,2008,Females,16601231.0
115,Canada,2009,Females,16802833.0
116,Canada,2010,Females,16807738.5
117,Canada,2011,Females,17101813.0
118,Canada,2012,Females,17379104.5
119,Canada,2003,Total males+females,31361611.0
120,Canada,2004,Total males+females,31372587.0
121,Canada,2005,Total males+females,31989454.0
122,Canada,2006,Total males+females,32299496.0
123,Canada,2007,Total males+females,32649482.0
124,Canada,2008,Total males+females,32927372.0
125,Canada,2009,Total males+females,33327337.0
126,Canada,2010,Total males+females,33334414.5
127,Canada,2011,Total males+females,33927935.5
128,Canada,2012,Total males+females,34492645.5
129,Czech Republic,2002,Males,5005508.0
130,Czech Republic,2003,Males,4966706.0
131,Czech Republic,2004,Males,4974740.0
132,Czech Republic,2005,Males,4980913.0
133,Czech Republic,2006,Males,5002648.0
134,Czech Republic,2007,Males,5026184.0
135,Czech Republic,2008,Males,5082934.0
136,Czech Republic,2009,Males,5136377.0
137,Czech Republic,2010,Males,5157197.0
138,Czech Republic,2011,Males,5168799.0
139,Czech Republic,2012,Males,5158210.0
140,Czech Republic,2002,Females,5264218.0
141,Czech Republic,2003,Females,5236563.0
142,Czech Republic,2004,Females,5236715.0
143,Czech Republic,2005,Females,5239664.0
144,Czech Republic,2006,Females,5248431.0
145,Czech Republic,2007,Females,5261005.0
146,Czech Republic,2008,Females,5298196.0
147,Czech Republic,2009,Females,5331165.0
148,Czech Republic,2010,Females,5349616.0
149,Czech Republic,2011,Females,5363971.0
150,Czech Republic,2012,Females,5347235.0
151,Czech Republic,2002,Total males+females,10269726.0
152,Czech Republic,2003,Total males+females,10203269.0
153,Czech Republic,2004,Total males+females,10211455.0
154,Czech Republic,2005,Total males+females,10220577.0
155,Czech Republic,2006,Total males+females,10251079.0
156,Czech Republic,2007,Total males+females,10287189.0
157,Czech Republic,2008,Total males+females,10381130.0
158,Czech Republic,2009,Total males+females,10467542.0
159,Czech Republic,2010,Total males+females,10506813.0
160,Czech Republic,2011,Total males+females,10532770.0
161,Czech Republic,2012,Total males+females,10505445.0
162,Denmark,2002,Males,2654146.0
163,Denmark,2003,Males,2662423.0
164,Denmark,2004,Males,2670135.0
165,Denmark,2005,Males,2677292.0
166,Denmark,2006,Males,2685846.0
167,Denmark,2007,Males,2696662.0
168,Denmark,2008,Males,2712666.0
169,Denmark,2009,Males,2732020.0
170,Denmark,2010,Males,2743286.0
171,Denmark,2011,Males,2756582.0
172,Denmark,2012,Males,2766776.0
173,Denmark,2002,Females,2714208.0
174,Denmark,2003,Females,2721084.0
175,Denmark,2004,Females,2727505.0
176,Denmark,2005,Females,2734113.0
177,Denmark,2006,Females,2741613.0
178,Denmark,2007,Females,2750422.0
179,Denmark,2008,Females,2763125.0
180,Denmark,2009,Females,2779431.0
181,Denmark,2010,Females,2791452.0
182,Denmark,2011,Females,2804046.0
183,Denmark,2012,Females,2813740.0
184,Denmark,2002,Total males+females,5368354.0
185,Denmark,2003,Total males+females,5383507.0
186,Denmark,2004,Total males+females,5397640.0
187,Denmark,2005,Total males+females,5411405.0
188,Denmark,2006,Total males+females,5427459.0
189,Denmark,2007,Total males+females,5447084.0
190,Denmark,2008,Total males+females,5475791.0
191,Denmark,2009,Total males+females,5511451.0
192,Denmark,2010,Total males+females,5534738.0
193,Denmark,2011,Total males+females,5560628.0
194,Denmark,2012,Total males+females,5580516.0
195,Finland,2002,Males,2537597.0
196,Finland,2003,Males,2544916.0
197,Finland,2004,Males,2552893.0
198,Finland,2005,Males,2562077.0
199,Finland,2006,Males,2572350.0
200,Finland,2007,Males,2583742.0
201,Finland,2008,Males,2596787.0
202,Finland,2009,Males,2611653.0
203,Finland,2010,Males,2625067.0
204,Finland,2011,Males,2638416.0
205,Finland,2012,Males,2652534.0
206,Finland,2002,Females,2657304.0
207,Finland,2003,Females,2661379.0
208,Finland,2004,Females,2666839.0
209,Finland,2005,Females,2674534.0
210,Finland,2006,Females,2683230.0
211,Finland,2007,Females,2693213.0
212,Finland,2008,Females,2703697.0
213,Finland,2009,Females,2714661.0
214,Finland,2010,Females,2726360.0
215,Finland,2011,Females,2736860.0
216,Finland,2012,Females,2748733.0
217,Finland,2002,Total males+females,5194901.0
218,Finland,2003,Total males+females,5206295.0
219,Finland,2004,Total males+females,5219732.0
220,Finland,2005,Total males+females,5236611.0
221,Finland,2006,Total males+females,5255580.0
222,Finland,2007,Total males+females,5276955.0
223,Finland,2008,Total males+females,5300484.0
224,Finland,2009,Total males+females,5326314.0
225,Finland,2010,Total males+females,5351427.0
226,Finland,2011,Total males+females,5375276.0
227,Finland,2012,Total males+females,5401267.0
228,France,2002,Males,28827658.0
229,France,2003,Males,28974588.0
230,France,2004,Males,29111526.0
231,France,2005,Males,30371081.0
232,France,2006,Males,30608686.0
233,France,2007,Males,30804161.0
234,France,2008,Males,30982280.0
235,France,2009,Males,31158647.0
236,France,2010,Males,31331380.0
237,France,2011,Males,31531113.0
238,France,2012,Males,31670391.0
239,France,2002,Females,30510073.0
240,France,2003,Females,30655533.0
241,France,2004,Females,30789154.0
242,France,2005,Females,32147490.0
243,France,2006,Females,32390087.0
244,France,2007,Females,32587979.0
245,France,2008,Females,32770860.0
246,France,2009,Females,33208315.0
247,France,2010,Females,33384930.0
248,France,2011,Females,33598633.0
249,France,2012,Females,33723892.0
250,France,2002,Total males+females,59337731.0
251,France,2003,Total males+females,59630121.0
252,France,2004,Total males+females,59900680.0
253,France,2005,Total males+females,62518571.0
254,France,2006,Total males+females,62998773.0
255,France,2007,Total males+females,63392140.0
256,France,2008,Total males+females,63753140.0
257,France,2009,Total males+females,64366962.0
258,France,2010,Total males+females,64716310.0
259,France,2011,Total males+females,65129746.0
260,France,2012,Total males+females,65394283.0
261,Germany,2002,Males,40274676.0
262,Germany,2003,Males,40344879.0
263,Germany,2004,Males,40356014.0
264,Germany,2005,Males,40353627.0
265,Germany,2006,Males,40339961.0
266,Germany,2007,Males,40301166.0
267,Germany,2008,Males,40274292.0
268,Germany,2009,Males,40184283.0
269,Germany,2010,Males,40103606.0
270,Germany,2011,Males,40112425.0
271,Germany,2012,Males,40206663.0
272,Germany,2002,Females,42165633.0
273,Germany,2003,Females,42191801.0
274,Germany,2004,Females,42175657.0
275,Germany,2005,Females,42147222.0
276,Germany,2006,Females,42098034.0
277,Germany,2007,Females,42013740.0
278,Germany,2008,Females,41943545.0
279,Germany,2009,Females,41818073.0
280,Germany,2010,Females,41698651.0
281,Germany,2011,Females,41639177.0
282,Germany,2012,Females,41637080.0
283,Germany,2002,Total males+females,82440309.0
284,Germany,2003,Total males+females,82536680.0
285,Germany,2004,Total males+females,82531671.0
286,Germany,2005,Total males+females,82500849.0
287,Germany,2006,Total males+females,82437995.0
288,Germany,2007,Total males+females,82314906.0
289,Germany,2008,Total males+females,82217837.0
290,Germany,2009,Total males+females,82002356.0
291,Germany,2010,Total males+females,81802257.0
292,Germany,2011,Total males+females,81751602.0
293,Germany,2012,Total males+females,81843743.0
294,Greece,2002,Males,5440113.0
