country,year,population
Australia,2002,19640979.0
Australia,2003,19872646.0
Australia,2004,20091504.0
Australia,2005,20339759.0
Australia,2006,20605488.0
Australia,2007,21015042.0
Australia,2008,21431781.0
Australia,2009,21874920.0
Australia,2010,22342398.0
Australia,2011,22620554.0
Australia,2012,22683573.0
Austria,2002,8139310.0
Austria,2003,8067289.0
Austria,2004,8140122.0
Austria,2005,8206524.0
Austria,2006,8265925.0
Austria,2007,8298923.0
Austria,2008,8331930.0
Austria,2009,8355260.0
Austria,2010,8375290.0
Austria,2011,8404252.0
Austria,2012,8443018.0
Belgium,2002,10309725.0
Belgium,2003,10355844.0
Belgium,2004,10396421.0
Belgium,2005,10445852.0
Belgium,2006,10511382.0
Belgium,2007,10584534.0
Belgium,2008,10666866.0
Belgium,2009,10753080.0
Belgium,2010,10839905.0
Belgium,2011,10366843.0
Belgium,2012,11035958.0
Canada,2003,31361611.0
Canada,2004,31372587.0
Canada,2005,31989454.0
Canada,2006,32299496.0
Canada,2007,32649482.0
Canada,2008,32927372.0
Canada,2009,33327337.0
Canada,2010,33334414.5
Canada,2011,33927935.5
Canada,2012,34492645.5
Czech Republic,2002,10269726.0
Czech Republic,2003,10203269.0
Czech Republic,2004,10211455.0
Czech Republic,2005,10220577.0
Czech Republic,2006,10251079.0
Czech Republic,2007,10287189.0
Czech Republic,2008,10381130.0
Czech Republic,2009,10467542.0
Czech Republic,2010,10506813.0
Czech Republic,2011,10532770.0
Czech Republic,2012,10505445.0
Denmark,2002,5368354.0
Denmark,2003,5383507.0
Denmark,2004,5397640.0
Denmark,2005,5411405.0
Denmark,2006,5427459.0
Denmark,2007,5447084.0
Denmark,2008,5475791.0
Denmark,2009,5511451.0
Denmark,2010,5534738.0
Denmark,2011,5560628.0
Denmark,2012,5580516.0
Finland,2002,5194901.0
Finland,2003,5206295.0
Finland,2004,5219732.0
Finland,2005,5236611.0
Finland,2006,5255580.0
Finland,2007,5276955.0
Finland,2008,5300484.0
Finland,2009,5326314.0
Finland,2010,5351427.0
Finland,2011,5375276.0
Finland,2012,5401267.0
France,2002,59337731.0
France,2003,59630121.0
France,2004,59900680.0
France,2005,62518571.0
France,2006,62998773.0
France,2007,63392140.0
France,2008,63753140.0
France,2009,64366962.0
France,2010,64716310.0
France,2011,65129746.0
France,2012,65394283.0
Germany,2002,82440309.0
Germany,2003,82536680.0
Germany,2004,82531671.0
Germany,2005,82500849.0
Germany,2006,82437995.0
Germany,2007,82314906.0
Germany,2008,82217837.0
Germany,2009,82002356.0
Germany,2010,81802257.0
Germany,2011,81751602.0
Germany,2012,81843743.0
Greece,2002,10988000.0
Greece,2003,11006377.0
Greece,2004,11040650.0
Greece,2005,11082751.0
